Date,SLB,XOM,CME,MPC,V,MCD,LUV,AVGO,PFE,TGT,TWTR,CVX,GOOGL,DIS,EBAY,QCOM,MRK,TSLA,CBOE,BIIB,GOOG,HD,TSN,HPQ,F,MA,AAL,CMCSA,CB,GS,GILD,IBM,VLO,HON,ABT,KO,TRV,CVS,LMT,FCX,WMT,BA,INTC,VZ,JNJ,OXY,MSFT,KHC,WBA,NVDA,CAT,AIG,PG,AMGN,MET,MAR,WFC,DAL,LLY,AAPL,TMO,AMZN,TMUS,PEP,JPM,ALB,CSCO,KR,FDX,MMM,UAL,FB,XRX,GM,NFLX,BAC,UNH,REGN,ABBV,SO,COP,GE,AXP,NKE,T,BLK
2018-09-10,60.311145177664876,81.93242540415703,174.6921244736844,82.4829063451776,143.95602794117647,165.21673167082298,62.4725264339152,238.36163058823539,42.285220772946865,89.27363737373744,30.427421441774506,114.90642096385552,1176.6821886075952,110.88029535452328,33.78467984886649,72.12283301662701,69.77436642857135,55.497399705014686,104.46803859649111,340.7548213333334,1165.9691721519002,210.37856506024102,63.5622322916667,24.70317690355331,9.396822037422035,212.63926567164188,39.24648982630274,36.40895195121952,135.35356135770235,232.87674029126234,72.67677412060301,146.20552977667498,115.40351090909087,163.69696122448985,66.66205279187818,46.11125198019805,127.81143625000009,76.18685050000003,324.65185,13.287004176904171,96.79061485148513,344.38109928400917,46.38358655097615,54.23680950118763,137.54420343137264,77.2088410714286,109.11888046421677,57.2542243176179,68.84693129770984,274.3778270386265,142.12846246913588,52.69195440806048,82.74962832512315,200.8333498759304,45.69685892857141,127.28394427480909,57.52214492753621,57.535314503816814,106.88980692307699,54.7995986666667,237.26458227513237,1944.5344059548258,65.45282774869108,113.65941291139245,114.06021842751852,97.51666550802138,47.037815903614465,31.918650599520348,249.75962875989435,214.20731352040818,88.07976161616159,163.98597471482873,27.113868169761286,33.93648755980865,347.64632011834334,30.842482618025706,261.4773214457833,394.5337491638793,94.10902110552769,44.398580952380925,71.32701468354426,12.50255300429189,107.31826350000011,81.98346059907833,32.366312222222234,474.61856452702693
2018-09-11,60.244792803970284,82.74485364077678,173.5331079487179,83.28785126903557,144.91018345498796,165.23554422110539,63.03179040404043,233.49486712962994,42.22667769607849,89.20312160804029,30.939933333333325,115.15376587112178,1184.411191191709,109.86847506297232,34.0116322418136,72.26785808823527,69.26567735368957,55.52417983870966,104.09560565476187,337.91874502762437,1172.2534378446117,213.36439979633403,63.297757853403105,24.666285964912298,9.313345531914882,212.4418241463416,39.94056864197532,36.37418446115284,135.44564293193713,230.2608642679903,72.61354951644088,146.4720814070352,115.39795746835435,163.13607944162447,66.57215076923076,46.044208771929775,127.57474056122446,75.65900270935965,322.4823030136985,12.956465986394564,96.92557285714284,344.02961395880993,45.570578895463576,54.661462891566245,138.5370374064838,77.26565468354421,110.66014123711341,57.25031057934507,68.90103585858583,273.61801623376607,141.64395268292674,52.27596432160807,82.21972581453635,200.7981761904762,45.2065606138108,127.51685431472109,57.43827843137255,58.151348730964436,105.77265918367351,55.49730643776826,236.57146577540104,1963.7544153361337,65.83909170854274,113.46058925,114.15131759036147,98.29201692708334,46.92099103773581,31.71670121951214,249.08916479999996,211.40338734177226,88.67271454081639,165.79910185873604,27.148478756476663,33.72266337349398,352.9720639751554,30.823675657894753,260.5776849872774,393.1330551601425,93.3273385749387,44.17815739795917,71.65094974874366,12.376878043478268,107.95222653061224,82.96443216630198,32.63414519650655,471.5932212765957
2018-09-12,61.11329509803926,83.30030963855421,171.23632252010717,84.11463797468357,146.10570491400495,164.81283131313143,61.90883615960096,227.5626314356437,42.49677045454541,88.63226196473546,29.82677758007119,116.51883734643734,1172.7233606132072,109.60102189781014,34.184781108312336,71.25435651162795,69.69006717171715,57.462254382826515,103.0985366459628,337.4432440579711,1163.3914044502617,212.21959043478265,63.653587917737795,24.551828753180644,9.355341741071395,213.58122186732197,39.71218009950251,36.016946115288256,135.1013409669211,228.501417605634,74.30961106557389,146.90584408060457,116.4004837563452,163.9349040816328,66.85846768447838,46.16577227722772,127.16618929503916,76.77995392156868,324.04268578811366,13.466661045130651,96.21085452380967,351.652178378378,44.61087626050424,55.0623060240964,139.2702275689224,76.31160911392406,111.31331700404868,59.021733830845704,69.89738121827409,267.2501234215886,143.28855699999988,52.18084464285716,82.86001100000003,199.41076389610402,44.99773477157359,127.25940282051293,56.23799694117654,57.591847474747524,105.89927712082263,55.609893227091725,237.95340160000006,1984.1322893700788,67.393038071066,113.77514759493677,113.54381079136692,99.44813900523557,46.74426275000005,31.374563251670363,252.39222480620177,210.7525753768843,88.00947493606132,162.76496693679098,27.401636842105194,34.12233174224342,363.7941766972478,30.536950311850315,262.40225038167915,387.4657352601154,93.18026625000002,44.168636775818584,72.21912146464649,12.499588493723852,108.0181235443037,82.48599187192116,33.33879479392624,470.74231981981956
2018-09-13,60.91598354114717,82.41307897310512,172.2095810734464,83.9652699745547,147.6852992537313,162.73551057934512,62.4232398477157,236.21553853658534,42.66477837837841,88.36906967418541,30.283437707948263,116.06445232273836,1177.539544019139,110.3064057356609,34.625511027568926,74.42961363636367,70.25254213075064,57.842530076628385,103.71445744680848,339.8898100558658,1171.2487656641606,209.78043069767438,63.49233449197869,24.99178680203047,9.360239333333295,217.4360894472362,39.73050845771144,36.94405583126551,136.11579246753257,228.43478574821862,73.71497196261677,148.31213611793615,116.83959872773546,165.49055288220546,67.85641281407034,45.83736111111107,128.8100451030928,77.43136568627443,329.60433421052613,13.640860879629631,95.27509859484769,356.4219806004621,45.47128830409362,54.85283080684595,139.65875325000013,76.29908863636368,112.72408666666657,59.33077688442211,70.48939158415837,272.2513018789143,145.45584261501213,52.71079540816324,83.14554177215194,201.93916374999978,45.395104591836756,128.86938491048593,55.321152038369334,58.024473618090425,106.29918066157752,56.35983060109286,242.57023932291676,1993.5136246963575,68.2782413265306,114.51853647642675,113.38292767441861,100.6866802564103,47.192233009708794,28.737060139860127,254.32037595907937,208.10014292929293,89.55754416243656,161.7968066037735,27.6484837270341,34.13635107398569,370.43074626865643,30.294319477911625,264.89105380710635,393.4312450160773,95.28155477386929,44.15261052631577,72.1067367758186,12.640427659574447,108.65874282115874,83.35184587378639,33.54756496815288,469.58993059936927
2018-09-14,61.08886140350878,82.78098874999996,173.11227451523555,84.28784543147198,147.93627707317057,160.91634040404026,62.31358661616165,235.71387593052108,42.80226302729528,87.90078696741861,30.37026101010098,117.03399131513653,1179.102151020408,109.59445000000012,34.2189919799499,74.95639289099518,69.92537,58.51628740000002,104.35493286713286,339.78037620396583,1173.3728963988926,208.81665264423094,63.368231451612886,25.0487946835443,9.410713033707866,217.55057171717155,39.71609063291142,36.93989047619048,137.4504250659631,229.57971197007492,73.68760223325064,148.4572144999999,117.103093298969,165.23449107142852,68.56362918781727,45.86628610421844,129.4683861892584,77.17789478908192,333.4354805626598,13.66178039215687,94.55915899772225,358.9730115662652,45.600447344110876,54.388399759615304,139.356624173028,77.33948239795917,113.19828247863265,58.94894582278481,70.26044005037782,276.3355021072798,145.044643,53.165376844783744,83.39288916876569,201.1398242424245,46.382546683673525,130.45957959183679,54.970758013544106,58.015949746192874,105.82662776349603,56.184596472392634,242.63072642045452,1974.3077659663884,68.2021272959184,114.2584629441624,113.61671094527364,100.56615932642492,47.30758719211824,28.244659030837003,255.21631250000007,208.0864335025381,89.90391428571421,161.94349946332736,28.021577023498725,34.57455012594461,366.9342355509357,30.29837142857144,265.62461999999994,392.80929006849277,95.60592601010094,43.96171924050637,73.39076455696205,12.544732692307672,109.664981407035,83.39516240786234,33.51573231132072,475.97893853820557
2018-09-17,61.034898241206015,83.34016805896817,172.06765595567865,83.88216857855359,146.7432389277389,158.23934864864864,63.16334522613061,237.7481514606742,42.99549033816425,87.50894411027573,28.966939632107046,117.74487288557212,1167.2974951530616,109.30359022556387,34.20865139949111,74.27014362745099,70.19074289340101,58.964161753731354,104.60375124223597,335.303061748634,1161.6417546419098,209.01465794621024,63.07734217171718,25.139655583756344,9.533404910714307,217.84644738095233,40.363928426395894,37.03941116751262,138.4079566233767,227.89606624999996,72.9096422110553,148.32232431077688,115.77557780612254,165.57891608040214,67.7718997468354,46.11800328638503,130.13095978260873,77.66961783919592,337.9304852417304,13.79405563380283,94.93512823529413,357.80319436619726,45.638227020785216,54.65170669975187,139.88812531328324,77.74694444444448,112.61820583657597,58.058399504950515,70.38762766497467,275.4917608961302,146.62815544554454,53.26417800511514,84.01845959595963,200.87084686716778,46.39771048593356,129.84301049868765,54.15412665036677,58.15426284987275,106.05765461538458,54.95800837837835,237.92218494897958,1923.1305516393438,67.58161974358981,115.074569620253,113.68702133995033,102.73598743589746,47.276405147058796,28.65973194444444,254.15783947858478,209.63028085642338,90.5996038659794,160.80213774597505,28.230010704960826,35.002779952267296,355.5212196881089,30.245307201646106,264.88079081632634,389.3097238410599,95.51021746835441,44.171213131313124,74.26872325000004,12.739105091649689,109.25874117647064,83.46430247524756,33.57490233644864,472.55501980197994
2018-09-18,61.282901707316995,83.74706611374411,172.05314631578938,84.06029467005072,147.56676560196564,158.0680563591022,62.90173181818184,239.6901982716048,43.36964863523573,87.65320849999995,29.182317714285702,118.32197846534656,1172.2245648241208,109.33762039800978,34.27041012658234,74.94552070588234,70.49045367088608,57.77904262877444,106.50064591549291,336.51216536458355,1167.5345382198948,210.22635980392144,62.19187213541668,25.187031043257008,9.571463824884788,220.0251730392156,40.47597581047381,37.646170370370385,138.38159739583327,228.59542469437662,73.462753164557,148.24097864321607,116.05460668380475,165.6416868020303,68.39095241730281,46.12709566265062,130.82963707571798,78.59122261306537,342.4553321148823,14.052997385620902,95.26028194774342,360.90652517647044,46.203859865470804,54.62807654320982,140.41725025252535,79.25326892230572,113.24647855711422,57.04532394014965,71.04178810126574,273.91590283975694,148.29686579572444,53.76972699228796,83.99518432835822,202.83141868686877,46.76551734693875,129.849627948718,54.41174133663369,57.751614572864355,106.6877649616368,54.75535994236313,239.22759503916458,1939.2221070476194,67.97067712082263,114.30788632911397,114.31527194570133,102.5922892030849,47.46859302884617,29.178100970873786,244.35547577002072,210.54936454081638,90.01818517587934,160.20009235772358,27.92715281501339,35.07084487804877,361.42072730375395,30.271147357293803,263.38019923857877,386.80772707692324,94.77711706161128,44.56926338383839,75.21717320099259,12.643983086680805,109.47150586734702,84.81808880952374,33.65278390022676,473.25020794223826
2018-09-19,61.387512561576315,84.414989800995,173.18492386058995,81.63052904040404,147.67442277227735,158.7187005037784,63.501302040816356,241.25264512195122,43.28555257985256,87.58426977329971,29.2270351129364,119.62253208020041,1167.0470327319592,109.94908724999999,34.25199563106797,74.18179750000002,70.26224886649878,58.18916850533809,106.48936520467838,338.4389421348314,1163.628311479592,211.90438254364082,61.920242857142945,25.229523929471025,9.78696726862305,218.45081907090466,41.54836133004926,37.510996700507654,140.42351291139255,234.5949650124067,74.01642846347609,149.59044346733668,111.64160683544311,166.22738076923085,68.6147308673469,45.98277536585369,132.75280360824743,79.51642524271847,343.49429497354504,14.394752083333364,95.59082102689489,368.35841147540964,46.10362687140124,53.79723406862743,140.37972493702745,79.2526513994911,111.85234095063986,57.079618341708596,71.739413164557,270.58093225108263,152.43956666666676,54.32969053708448,84.08579772727278,203.36196055276363,47.87124438775505,130.9186628947369,55.22120099757284,58.04205392405068,106.30932360406089,54.468733168316824,240.58029502762432,1920.4044303393227,67.97577169312167,113.83508320610694,117.15588515081204,105.62267435897445,47.28061253071247,29.22252004950496,242.50099189814816,213.22274325699752,89.77864253164562,161.52491293900172,28.405712868632694,35.782354523227404,367.06447975167794,30.88188689788056,264.6190530612246,383.8108085526315,91.10428743961346,44.090247750000046,75.52424357682624,12.8470515283843,110.15695969387757,84.70057645631071,33.475542920354,482.96704969135783
2018-09-20,61.782685929648245,84.78989045454539,174.1461010989011,81.85835447570334,148.77561295843515,160.40927703703701,62.98113458646613,244.48348817734004,43.67116537530269,87.34328599508596,29.773789754098367,119.6010610294117,1188.7023492462306,111.23644736842124,34.129720654911836,74.85518288508558,70.66443084577121,59.878216360294076,106.6303290055249,340.84499919571056,1184.8285653645833,211.78243195121962,62.32898737113403,25.665533417721498,9.789112967032995,220.65080562347194,41.650398053528,37.632873566084776,139.9155534031414,237.3180046620046,74.48775949367091,150.57088817733984,110.82138539042816,166.12194845360818,68.74611338383838,46.50230196560196,133.88951362467876,79.51175538847117,332.9301849246233,14.452635010940911,95.50987951219527,368.3691800904976,47.03415233644868,53.80166219512199,141.6457339152121,79.11592066326526,113.33899834368539,57.71146442786069,72.59467632241811,266.83166533546313,155.66645277777764,54.44399207161133,85.21691506172846,204.62636379746834,48.49246428571432,131.24850383631718,55.43919071428571,58.18922817955114,105.66807633587803,55.148628728414444,242.19566532258062,1944.7191610547663,68.77022531969303,115.11312803030309,118.71257883817432,106.33610634517774,47.62402847058824,28.93601169154225,246.18980355450248,214.68314722222215,89.3129038461539,165.33969716814178,28.563216710182743,36.00979261904765,366.34395672191505,31.264198035714248,267.0529507653061,386.7756785488959,92.47888902743155,43.28472444444448,75.46985099502484,12.499139553429027,111.14481224489805,85.49014023255819,33.416098305084766,487.1832604651163
2018-09-21,61.33907132169566,85.10220946601947,174.8023620879121,83.5416109414758,149.94964483568083,163.945748611111,63.74249568527918,247.26617274826793,43.98778455882352,87.802645177665,29.044711259542,120.41233211678829,1181.6837155294118,110.83356139954861,34.11005550000003,73.88739852579847,71.18190125628144,59.559165173116064,107.71412084507048,342.4561445040216,1176.4940618937649,211.83376216216215,61.83201649484534,25.830867839195964,9.83758558139535,221.85364219512195,43.42210483091787,37.85824052757796,139.5421067934783,235.70333940149658,75.4444585,151.4606228915662,111.98110306905377,166.91085843828702,68.99459263959395,46.51318102189784,134.03576026666676,79.46694246231147,336.2809404761905,14.716941612200436,95.93090169082119,370.6251440677966,46.74748951781972,54.474219444444415,142.41191493670894,79.04648784810124,114.07897281517504,57.48888711471325,72.60257531172073,265.22295071574615,156.54259098901096,54.372654615384604,85.79232708860764,205.28833047858936,48.56895484693881,131.27649392405058,55.24223127853886,59.834511868686846,106.49721568123387,54.768261658841915,243.3220944444444,1930.451760198018,69.41476275510199,115.12061822784817,118.23762370203156,105.36754360313314,48.35053564814816,29.679196153846178,248.39063522167487,216.64744458438284,89.83236186868687,164.5199790816325,28.291215025906748,35.66886253041361,365.3603017441863,31.093373511293645,266.7206160714286,390.715671681416,92.69474365853661,43.792019458128046,75.9923922885572,12.355514259597781,111.09489641025638,85.58586083916082,34.00904050420169,487.24531770833306
