,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,0.6409920390364724,-0.229835294196414,0.9207561297025744,-0.573033652772638,0.8292738317669028,-0.682823642510737,0.9387939067718136,0.6844925167691752,0.7909732372371038,0.4800025162552313,0.4551768507580981,0.8007485718448298,0.8680272719220357,0.3244180869978095,0.8933093529240185,0.8563562438550977,-0.6434910498595419,0.8441345817340418,0.9209999216674504,0.5698745465615968,0.8296853161930716
20,0.8043558639926023,-0.7754929801038883,0.8723193174962143,-0.312158493289918,0.8866060052135433,-0.4603530748989009,0.8939496642700112,-0.004245169575890305,0.8797202016481438,0.901290733867202,-0.07678455261960256,0.4237639863374009,0.7532647706683995,0.5228309094009506,0.883806378525072,0.80910306689723,0.6709874523914974,0.031016580786286833,0.8794575595013261,0.4571675120437051,0.15814758898676806
40,0.28191407131244794,0.6637933052792379,0.920665639257942,0.8607388244279611,0.871302663917103,0.7814777025730029,0.7387023011435957,0.4845447148851205,0.9822578478380664,0.2754298202074025,0.21286716627454566,0.3138396527558996,0.7090117892015804,0.7951903494022899,0.6553288845588572,-0.19943483468749407,-0.8244808536911772,0.7074987436639211,0.9040774485899336,0.6616381308264611,0.2844314673622747
60,-0.5872878669056127,-0.4002584072739164,-0.12543969116473722,-0.06283303109983167,-0.7139053683498457,0.0945702009774137,-0.02235676965887327,0.846264954738857,0.9304326602871332,0.7088454830770644,-0.27862449770569137,-0.002909061964939603,-0.7425828601904241,-0.2091013974863808,-0.7024854004062168,0.5365569056663979,-0.9276449081475128,-0.5438148881014249,0.6544227519559218,0.14436060728978636,0.029413085002164774
80,-0.7440494071462361,-0.4560805182491248,0.1810660026736913,0.8296146405930371,0.9612134842182272,-0.8338519429606455,0.5614451580733264,0.9430625693855664,0.9544995964833812,0.4239440001202314,0.6595447022418742,0.7945510528785716,0.8855780986160277,-0.3692747137743278,0.8481688453590612,-0.7453266232700699,0.03459865482471916,0.9103973214138376,0.30291723049333064,0.6541433083908241,0.21471864325874931
100,0.2003088518997793,0.3068942246080756,0.9315325468079924,-0.08396647100381764,0.7858107334446841,-0.4282055258778294,0.94539739493124,0.850411764411083,0.9560832054738512,0.7607622738602576,0.4028746203640229,0.8161559079340204,0.8276207658403271,0.09853681906917228,0.8309100878175876,0.7018928999932827,-0.5836099696373416,0.8304557362384621,0.932092489526193,0.5179150316563806,-0.0308568797393952
120,0.8741412388101345,0.4954110099214471,0.821404399896341,-0.7902304638557526,0.8057712212631075,-0.6163493520499116,0.7777294536710626,0.9198264229665304,0.7622967555962941,0.8405647441483951,0.6337937423077429,0.73699060416493,0.8438060231449491,-0.4171505701821307,0.7347096377042241,0.7245160776919279,0.7861288520795808,0.757070984936557,0.9604138220007272,0.5329107655855333,0.7892317609845645
140,-0.22315970031254267,-0.8024001818351738,0.2394908638219435,0.5471441724937421,0.8981104884817074,-0.4908363161516882,-0.4159124977680653,0.9291657814782196,0.9792325177099658,0.332426613203498,0.07188086676275053,-0.6589445605885256,-0.433264407852991,-0.5790458161845674,0.6953233108702833,0.4995509999640229,-0.8136551895243673,0.895465100867981,0.7509902962696239,0.7548789222838452,0.5849039181716431
160,0.2093788398741694,0.4758528380957562,0.9197997367423856,0.4377520357135367,-0.3887710005359963,-0.06873201356216638,0.8481593280177118,0.9351023469967444,0.6402713387318273,0.8394241526846244,0.21100479197346855,0.7840147441054427,0.8411000689049606,0.8113316488619123,0.8519277300878003,0.8127746946544381,0.9172596043448724,0.6964807710368894,0.8726238488746746,0.7510872505451442,0.7191410761136556
180,-0.6715213700957173,-0.16950679211254974,0.7832763008730159,-0.6940615032091783,0.43384090458066,0.04860587910568083,-0.2933913525195964,0.9665092561269788,0.9588492946664148,0.4586586426217518,0.7322325190417215,0.6291520185653546,0.8800810524487233,-0.21809800481555766,-0.13955433130937922,0.5279737821741061,-0.4439798705007205,0.3086498840803141,0.9724507489102368,0.8057083819929632,-0.9444813640415456
200,0.8836251362215526,0.6195690921833207,0.7809260705568211,-0.510819469575121,0.8541003407096183,0.5260508225995959,0.9521111891774644,0.9542528625165156,0.21094980178725967,0.37304843919660696,0.31092537044400537,0.29178856854533763,0.8157232327441206,0.30120384245934656,0.7422593716303146,-0.5200145743889975,0.7528595561223588,0.7857742244736329,0.9294193973951268,0.8089409140758625,-0.5070879156366392
