Date,GOOG,AAPL
2015-12-30,774.0399124352327,26.937073282442732
2015-12-31,764.8903405541563,26.46150747330963
2016-01-01,763.0,26.35875
2016-01-04,736.8144174208144,26.004184422809423
2016-01-05,744.8647912941174,25.930656484149875
2016-01-06,741.7786350797267,25.197492336217604
2016-01-07,729.1942109473681,24.44190402761796
2016-01-08,722.3199825396825,24.37199045346064
2016-01-11,711.503347,24.533368882175235
2016-01-12,723.0593891705073,24.933999864681986
2016-01-13,717.2597802325578,24.864205211267578
2016-01-14,711.623248210024,24.550631889763764
2016-01-15,695.4320254545448,24.252818815789464
2016-01-18,695.4320254545448,24.252818815789464
2016-01-19,702.0715709302327,24.309425753012043
2016-01-20,686.7032652680653,23.807673877551018
2016-01-21,709.8752276744186,24.18152693498455
2016-01-22,724.6360723557689,24.98644384105958
2016-01-25,722.8723914004914,25.128919126506016
2016-01-26,712.1919328502413,24.899775452196383
2016-01-27,708.9592739999995,23.813732911392442
2016-01-28,724.4244063745022,23.44128972602734
2016-01-29,739.148436595745,23.982984171597657
2016-02-01,760.9080934102142,24.071578224455614
2016-02-02,780.1468803191493,23.794782711864404
2016-02-03,742.794324586777,23.807614710485144
2016-02-04,711.7064044210531,24.038633783783787
2016-02-05,689.7357058189647,23.77804942716856
2016-02-08,671.3715099221789,23.45249234234234
2016-02-09,683.1831765402845,23.67988724489797
2016-02-10,690.9849725055436,23.835624635332227
2016-02-11,676.9048061810153,23.33843154761902
2016-02-12,684.5284511737091,23.46334605475041
2016-02-15,684.5284511737091,23.46334605475041
2016-02-16,690.5280921800946,23.952418389057733
2016-02-17,703.9035191685922,24.31310859375001
2016-02-18,702.437983847981,24.331938845553807
2016-02-19,700.3653730496444,24.04481793650792
2016-02-22,707.845751824818,24.11183486842103
2016-02-23,698.4982639024383,23.848703945111467
2016-02-24,689.3624574117646,23.67263389570548
2016-02-25,699.9623007228921,24.019165619834702
2016-02-26,706.238162043796,24.284993686006818
2016-02-29,705.4874920595533,24.346846473779358
2016-03-01,713.2230648058256,24.85229834983499
2016-03-02,716.2761689223059,25.08098839427661
2016-03-03,711.9708659793815,25.28426213768119
2016-03-04,710.405645320197,25.654328797468374
2016-03-07,697.1056356435636,25.525140400667762
2016-03-08,697.9678840796018,25.291235244519402
2016-03-09,702.2192920595536,25.2834184981685
2016-03-10,710.8382342042758,25.29856655290099
2016-03-11,722.8208840855104,25.48281818181819
2016-03-14,731.4944153846144,25.599360317460285
2016-03-15,728.9327228426403,26.10302861313869
2016-03-16,730.0297077500004,26.32071731669267
2016-03-17,739.8740037688439,26.44704060913706
2016-03-18,735.5654620192311,26.46802910321486
2016-03-21,738.9891022900769,26.547853768844202
2016-03-22,742.1239333333333,26.639535440931777
2016-03-23,739.9440097938142,26.63807132216016
2016-03-24,733.8300154216864,26.38387059891109
2016-03-25,733.8300154216864,26.38387059891109
2016-03-28,735.8669314285713,26.370922125435538
2016-03-29,740.2086971722372,26.70210757314974
2016-03-30,752.7230050239237,27.33270387596901
2016-03-31,746.748840399002,27.32168671328673
2016-04-01,746.281569478908,27.362675752212386
2016-04-04,745.053676693767,27.808462618296527
2016-04-05,738.9463556994825,27.491740128410928
2016-04-06,742.103011197917,27.569097404844282
2016-04-07,740.7624737373733,27.338431570247923
2016-04-08,739.1101288888887,27.23751502683361
2016-04-11,741.9731348370921,27.4024266323024
2016-04-12,738.6321275064265,27.458760286225385
2016-04-13,749.5594957920786,27.93425025380712
2016-04-14,755.1244675257738,27.973510630630592
2016-04-15,759.0054769417475,27.71500357723578
2016-04-18,764.6778866666664,26.99971024096389
2016-04-19,756.3393071942444,26.791300663349894
2016-04-20,753.6648151219507,26.838807407407405
2016-04-21,745.6563001776199,26.501333794162807
2016-04-22,719.8413082851637,26.333749651567945
2016-04-25,720.3889888619857,26.267863743676237
2016-04-26,714.2490652173911,25.574822576530597
2016-04-27,700.9302081264111,24.32605035714281
2016-04-28,701.8693026490067,24.10219957865167
2016-04-29,692.5289949640285,23.436761624649854
2016-05-02,695.2241512690358,23.366191880920162
2016-05-03,694.988464019851,23.639953508771953
2016-05-04,696.1800897755613,23.61007379421223
2016-05-05,699.5471745679016,23.315464013840817
2016-05-06,707.1244796526058,23.169910309278364
2016-05-09,715.8891637279601,23.268312919463103
2016-05-10,720.9310464373469,23.281294708994704
2016-05-11,720.0462026178008,23.21451509433963
2016-05-12,713.4117519900498,22.678041467065857
2016-05-13,711.886722606383,22.647326582278463
2016-05-16,714.5555914285717,23.340522624434435
2016-05-17,711.919906649616,23.47702942028985
2016-05-18,707.2537159383035,23.6185457990115
2016-05-19,699.9372073417721,23.51755300546449
2016-05-20,710.1656549636804,23.74872564543892
2016-05-23,706.5352962593519,24.116424962405986
2016-05-24,717.7219725490202,24.39538330781015
2016-05-25,725.227726054591,24.76556924242426
2016-05-26,723.388205134475,24.956174447949543
2016-05-27,732.042940786241,24.98458384491116
2016-05-30,732.042940786241,24.98458384491116
2016-05-31,734.6481099502483,24.944405254777074
2016-06-01,735.1062356060606,24.756474474959603
2016-06-02,728.2583791443852,24.384389119999998
2016-06-03,722.9891301265824,24.473716356877347
2016-06-06,718.4550414392062,24.66659664804467
2016-06-07,718.9956827411168,24.827704044117628
2016-06-08,725.7745433090035,24.75503471933473
2016-06-09,727.256573333333,24.872207999999983
2016-06-10,720.2457581280778,24.741113274336264
2016-06-13,721.1847197435894,24.4084881300813
2016-06-14,716.4091714652949,24.327980961182984
2016-06-15,720.6229942408376,24.44479367311073
2016-06-16,707.5938966019419,24.216869727891194
