Date,MSFT,AAPL
2018-09-10,109.11888046421677,54.7995986666667
2018-09-11,110.66014123711341,55.49730643776826
2018-09-12,111.31331700404868,55.609893227091725
2018-09-13,112.72408666666657,56.35983060109286
2018-09-14,113.19828247863265,56.184596472392634
2018-09-17,112.61820583657597,54.95800837837835
2018-09-18,113.24647855711422,54.75535994236313
2018-09-19,111.85234095063986,54.468733168316824
2018-09-20,113.33899834368539,55.148628728414444
2018-09-21,114.07897281517504,54.768261658841915
2018-09-24,114.24265644171793,54.79028242122716
2018-09-25,114.34729137576998,55.38664150943396
2018-09-26,114.57860021505385,55.50386843800315
2018-09-27,114.58597378048799,56.174346077032745
2018-09-28,114.19668135245917,56.251522468354466
2018-10-01,115.39230670731706,56.971737795275544
2018-10-02,115.37600907172995,57.194020100502506
2018-10-03,115.53808811475412,57.96886735015775
2018-10-04,113.01588068181808,57.26437178362563
2018-10-05,112.07739822834651,56.288946337579624
2018-10-08,110.99758770161303,55.791908412698405
2018-10-09,111.9575733333335,56.299173469387775
2018-10-10,108.08690706075541,55.24433816489375
2018-10-11,106.57301692969865,53.8538897208122
2018-10-12,108.71269970014998,55.00648669410155
2018-10-15,108.43476655518388,54.73197584345477
2018-10-16,110.3274674876848,55.09569101449277
2018-10-17,110.62016763565887,55.357123483670264
2018-10-18,109.07869688109156,54.37314781341111
2018-10-19,109.27442595281315,54.771100144508665
2018-10-22,109.5923666666665,55.275312420382214
2018-10-23,107.4768136363635,54.78375080428951
2018-10-24,105.86193916554508,54.92596909323119
2018-10-25,107.14678350253809,54.70882705018353
2018-10-26,106.37330695652172,54.10231909677418
2018-10-29,105.76622484662592,53.97263457583557
2018-10-30,103.00366697530858,53.27781554726359
2018-10-31,106.61410929487171,54.54762007772026
2018-11-01,106.17827222222223,54.22256877234807
2018-11-02,106.18458103161407,51.992496325167046
2018-11-05,106.81840712830953,50.53742968960856
2018-11-06,107.49719432773108,50.677728349788396
2018-11-07,111.08305534482749,51.79473677018641
2018-11-08,111.4537832653063,52.08526644385024
2018-11-09,109.71410300601212,51.13139827586208
2018-11-12,107.45314305835012,49.07594921540657
2018-11-13,107.61115733590728,48.38454770408158
2018-11-14,105.94465324675329,47.38642846347613
2018-11-15,106.05818318739057,47.34650560625823
2018-11-16,107.82742767175576,48.105821888412
2018-11-19,105.27386000000004,46.91994712041878
2018-11-20,102.11265037147098,44.88302999999992
2018-11-21,103.46553878260873,44.48331700404856
2018-11-22,103.1727181818182,44.22340909090909
2018-11-23,102.9343062283737,43.58512879177378
2018-11-26,105.5620724014337,43.29723891687655
2018-11-27,106.70045103806241,43.287662547288775
2018-11-28,109.42901376451078,44.53467506561678
2018-11-29,110.32852564102565,44.97894808743167
2018-11-30,110.29024488636364,44.616924861878495
2018-12-03,112.27088493377471,45.87288557089085
2018-12-04,110.5475348230913,44.84705140186915
2018-12-05,109.050796,44.151862745098036
2018-12-06,107.28048272251317,43.19368563685637
2018-12-07,106.69612774869113,42.77108478561547
2018-12-10,105.89960569852937,41.9275275216139
2018-12-11,108.947609215017,42.37112435723955
2018-12-12,110.18966241379316,42.56636267217633
2018-12-13,109.35628554455447,42.646584651162776
2018-12-14,107.37197117750436,41.78143755215575
2018-12-17,104.20062899082569,41.37012803598197
2018-12-18,103.51236122807016,41.40671937765205
2018-12-19,104.73074380165308,41.11013225331371
2018-12-20,102.12417121212125,39.78698549723759
2018-12-21,100.20895606299216,38.46866688311688
2018-12-24,96.52022085714283,37.299326799007446
2018-12-25,96.52022085714283,37.299326799007446
2018-12-26,97.37662508361208,37.89134033379698
2018-12-27,98.80851496815285,38.484199605263186
2018-12-28,101.05378391376465,39.14003125904488
2018-12-31,101.43673898305086,39.45109520766775
2019-01-01,101.75798999999999,39.49388888888889
2019-01-02,100.20973705799152,38.669451752021594
2019-01-03,98.55752248803837,36.02840608793686
2019-01-04,100.90288306709276,36.54198818076473
2019-01-07,102.12838508474582,36.912419555555566
2019-01-08,102.70511816546761,37.45458875171468
2019-01-09,104.01229641577059,38.17143873873869
2019-01-10,103.24762213114757,38.186648623853245
2019-01-11,102.4460649717513,38.16519625748499
2019-01-14,101.92719070707074,37.54770594227512
2019-01-15,104.20141281588448,37.98234492307694
2019-01-16,105.35363440453682,38.62059103773588
2019-01-17,105.58529176470583,38.64181060842436
2019-01-18,107.19472368421044,39.208730998509736
2019-01-21,107.19472368421044,39.208730998509736
2019-01-22,106.1157065666042,38.67303651050082
2019-01-23,106.17306960600357,38.373321790540544
2019-01-24,106.10179964850613,38.22803564356436
2019-01-25,107.15415517241382,39.09045304347834
2019-01-28,105.40111558219172,38.91686221198159
2019-01-29,103.57139174174172,39.332888873812735
2019-01-30,104.6241272373541,40.86509044289046
2019-01-31,104.22374939106894,41.71494272608129
2019-02-01,103.33707735849056,41.752091640378616
2019-02-04,104.88319242144186,42.51961848874598
2019-02-05,106.74211276978414,43.36407749287758
2019-02-06,106.21799510763208,43.56823937007873
2019-02-07,105.06168834586474,42.955454354354366
2019-02-08,104.95292580037673,42.43435732758622
2019-02-11,105.53128620689658,42.52921435643566
2019-02-12,106.58730688405807,42.58483658146965
2019-02-13,107.12209469387744,42.749690560000026
2019-02-14,106.70396047904191,42.620989291338574
2019-02-15,107.72943656126488,42.560004510108826
2019-02-18,107.72943656126488,42.560004510108826
2019-02-19,108.25858668122268,42.613452064631886
2019-02-20,107.21598308668088,42.988434402852015
2019-02-21,108.61075883534141,42.82112084870845
2019-02-22,110.60575996376811,43.05465488215492
2019-02-25,111.75810684684686,43.6458176848875
